epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,240.248,1.22474,1.91042,1.2807,0.33736,0.31349,0.26934,0.14673,1.39455,2.81127,1.43409,0.0001981,0.0001981,0.0001981
83,243.153,1.03535,1.60155,1.177,0.37941,0.36905,0.28606,0.14746,1.42625,2.67967,1.43234,0.0001882,0.0001882,0.0001882
84,246.065,1.05172,1.7742,1.24255,0.36173,0.39286,0.27889,0.15308,1.47155,2.62962,1.45153,0.0001783,0.0001783,0.0001783
85,249.009,1.0785,1.65542,1.20825,0.3911,0.31349,0.29055,0.14618,1.47851,2.51521,1.47077,0.0001684,0.0001684,0.0001684
86,251.893,0.96381,1.57642,1.05557,0.40931,0.30549,0.28717,0.14833,1.47981,2.56369,1.45494,0.0001585,0.0001585,0.0001585
87,254.779,1.22962,1.94615,1.3656,0.17462,0.52769,0.28543,0.15262,1.45466,2.96588,1.43008,0.0001486,0.0001486,0.0001486
88,257.696,1.08007,1.60112,1.14876,0.16649,0.48315,0.2741,0.14463,1.476,2.83724,1.44341,0.0001387,0.0001387,0.0001387
89,260.575,1.10881,1.84608,1.23499,0.44068,0.2484,0.31962,0.16425,1.51017,2.7833,1.49183,0.0001288,0.0001288,0.0001288
90,263.487,1.19923,1.67164,1.31577,0.34597,0.33125,0.31712,0.16477,1.49185,2.9851,1.48386,0.0001189,0.0001189,0.0001189
91,266.607,1.13459,2.0802,1.26437,0.35125,0.31349,0.22736,0.11808,1.51337,2.74912,1.47861,0.000109,0.000109,0.000109
92,269.643,1.18145,1.88321,1.24366,0.3488,0.31349,0.25478,0.13332,1.49767,2.69599,1.4544,9.91e-05,9.91e-05,9.91e-05
93,272.487,1.13756,1.74597,1.20356,0.36784,0.33552,0.278,0.13904,1.49512,2.57143,1.4413,8.92e-05,8.92e-05,8.92e-05
94,275.346,1.24749,1.98796,1.32498,0.34971,0.33369,0.28813,0.1514,1.50347,2.60739,1.45281,7.93e-05,7.93e-05,7.93e-05
95,278.203,1.04628,1.91635,1.20156,0.35873,0.40359,0.32218,0.15914,1.48802,2.48852,1.44153,6.94e-05,6.94e-05,6.94e-05
96,281.058,1.02789,1.70843,1.13699,0.33472,0.42063,0.3109,0.15217,1.46891,2.52583,1.43612,5.95e-05,5.95e-05,5.95e-05
97,283.934,1.16258,1.91376,1.30743,0.34019,0.42063,0.30503,0.1529,1.45313,2.48338,1.44017,4.96e-05,4.96e-05,4.96e-05
98,286.79,1.05292,1.66722,1.20609,0.52108,0.42063,0.31431,0.15924,1.44478,2.32734,1.44609,3.97e-05,3.97e-05,3.97e-05
99,289.666,1.00244,1.76253,1.11504,0.51178,0.42063,0.30479,0.15299,1.44671,2.29678,1.44894,2.98e-05,2.98e-05,2.98e-05
100,292.524,1.04768,1.91318,1.20003,0.18126,0.49114,0.3042,0.15819,1.43375,2.16755,1.44222,1.99e-05,1.99e-05,1.99e-05
